ID,Parameters_Name,baseline,pmax,pmin
1,sE,1,100,1
2,sR,36,100,10
3,D_{ss},100000,10000000,1000
4,a_{Em},0.01,0.1,0.001
5,\eta_{basal},0.01,0.03,0.01
6,\alpha_e,0.11,0.5,0.01
7,\beta_e,22,30,21
8,f_m,1,2,0.1
9,f_{ma},1,2,0.1
10,J,50000,50000,48000
11,k,0.4,1,0.4
12,b,0.09,0.1,0.01
13,c,0.1,0.25,0.07
14,e_1,1e-08,1e-06,1e-08
15,e_2,1e-08,1e-06,1e-08
16,\alpha_B,0.0334,0.05,0.02
17,\delta_B,0.0166666666666667,0.0172413793103448,0.0161290322580645
18,G_{hb},90,100,81
19,R_0,864,1000,500
20,G0,1.44,2,0.1
21,S_I,0.72,1,0.1
22,\sigma_I,43.2,50,30
23,\delta_I,432,576,460
24,GI,141.42135623731,141.42135623731,14.142135623731
25,Q_{panc},0.194,0.5,0.1
26,b_{DE},4.87e-06,1e-05,1e-06
27,b_{IR},4.87e-06,1e-05,1e-06
28,a_{E},0.1199,0.5,0.1
29,a_{R},0.1199,0.5,0.1
30,T_{naive},370,500,100
31,b_{p},12,90,10
32,r_{am},0.01,1.5,0.001
33,\theta_D,212000,100000,100
34,d,0.5,1,0.5
35,b_{E},0.001,0.1,0.0001
36,b_{R},0.001,0.1,0.0001
37,\mu_{BP},0.1,1,0.01
38,\mu_D,0.51,1,0.1
39,fDs,1.710135e-07,1e-05,1e-06
40,ftDs,1.18993e-06,1e-05,1e-06
41,mu_E,2e-06,1e-05,1e-06
42,mu_R,2e-06,1e-05,1e-06
43,dummy,1,10,0
